Flat K,MRS,BC_Code,RZD_Code,LZA,Lens_Code,Lens_Code_Lazer,BC,RZD
39,-6.5,101,525,31,101-525-31,10153E,10.1,0.525
39,-6.25,101,525,31,101-525-31,10153E,10.1,0.525
39,-6,100,525,31,100-525-31,10053E,10,0.525
39,-5.75,100,525,31,100-525-31,10053E,10,0.525
39,-5.5,99,525,31,99-525-31,9953E,9.9,0.525
39,-5.25,98,525,31,98-525-31,9853E,9.8,0.525
39,-5,98,525,31,98-525-31,9853E,9.8,0.525
39,-4.75,97,525,31,97-525-31,9753E,9.7,0.525
39,-4.5,97,525,31,97-525-31,9753E,9.7,0.525
39,-4.25,96,525,31,96-525-31,9653E,9.6,0.525
39,-4,96,525,31,96-525-31,9653E,9.6,0.525
39,-3.75,95,500,31,95-500-31,9550E,9.5,0.5
39,-3.5,95,500,31,95-500-31,9550E,9.5,0.5
39,-3.25,94,500,31,94-500-31,9450E,9.4,0.5
39,-3,94,500,31,94-500-31,9450E,9.4,0.5
39,-2.75,93,500,31,93-500-31,9350E,9.3,0.5
39,-2.5,93,500,31,93-500-31,9350E,9.3,0.5
39,-2.25,92,500,31,92-500-31,9250E,9.2,0.5
39,-2,92,500,31,92-500-31,9250E,9.2,0.5
39,-1.75,91,500,31,91-500-31,9150E,9.1,0.5
39,-1.5,91,500,31,91-500-31,9150E,9.1,0.5
39,-1.25,90,500,31,90-500-31,9050E,9,0.5
39,-1,90,500,31,90-500-31,9050E,9,0.5
39,-0.75,89,500,31,89-500-31,8950E,8.9,0.5
39,-0.5,89,475,31,89-475-31,8948E,8.9,0.475
39,-0.25,88,475,31,88-475-31,8848E,8.8,0.475
39.125,-6.5,101,525,31,101-525-31,10153E,10.1,0.525
39.125,-6.25,100,525,31,100-525-31,10053E,10,0.525
39.125,-6,100,525,31,100-525-31,10053E,10,0.525
39.125,-5.75,99,525,31,99-525-31,9953E,9.9,0.525
39.125,-5.5,99,525,31,99-525-31,9953E,9.9,0.525
39.125,-5.25,98,525,31,98-525-31,9853E,9.8,0.525
39.125,-5,98,525,31,98-525-31,9853E,9.8,0.525
39.125,-4.75,97,525,31,97-525-31,9753E,9.7,0.525
39.125,-4.5,97,525,31,97-525-31,9753E,9.7,0.525
39.125,-4.25,96,525,31,96-525-31,9653E,9.6,0.525
39.125,-4,96,525,31,96-525-31,9653E,9.6,0.525
39.125,-3.75,95,500,31,95-500-31,9550E,9.5,0.5
39.125,-3.5,95,500,31,95-500-31,9550E,9.5,0.5
39.125,-3.25,94,500,31,94-500-31,9450E,9.4,0.5
39.125,-3,94,500,31,94-500-31,9450E,9.4,0.5
39.125,-2.75,93,500,31,93-500-31,9350E,9.3,0.5
39.125,-2.5,93,500,31,93-500-31,9350E,9.3,0.5
39.125,-2.25,92,500,31,92-500-31,9250E,9.2,0.5
39.125,-2,92,500,31,92-500-31,9250E,9.2,0.5
39.125,-1.75,91,500,31,91-500-31,9150E,9.1,0.5
39.125,-1.5,91,500,31,91-500-31,9150E,9.1,0.5
39.125,-1.25,90,500,31,90-500-31,9050E,9,0.5
39.125,-1,90,500,31,90-500-31,9050E,9,0.5
39.125,-0.75,89,500,31,89-500-31,8950E,8.9,0.5
39.125,-0.5,89,475,31,89-475-31,8948E,8.9,0.475
39.125,-0.25,88,475,31,88-475-31,8848E,8.8,0.475
39.25,-6.5,101,525,31,101-525-31,10153E,10.1,0.525
39.25,-6.25,100,525,31,100-525-31,10053E,10,0.525
39.25,-6,100,525,31,100-525-31,10053E,10,0.525
39.25,-5.75,99,525,31,99-525-31,9953E,9.9,0.525
39.25,-5.5,98,525,31,98-525-31,9853E,9.8,0.525
39.25,-5.25,98,525,31,98-525-31,9853E,9.8,0.525
39.25,-5,97,525,31,97-525-31,9753E,9.7,0.525
39.25,-4.75,97,525,31,97-525-31,9753E,9.7,0.525
39.25,-4.5,96,525,31,96-525-31,9653E,9.6,0.525
39.25,-4.25,96,525,31,96-525-31,9653E,9.6,0.525
39.25,-4,95,525,31,95-525-31,9553E,9.5,0.525
39.25,-3.75,95,525,31,95-525-31,9553E,9.5,0.525
39.25,-3.5,94,500,31,94-500-31,9450E,9.4,0.5
39.25,-3.25,94,500,31,94-500-31,9450E,9.4,0.5
39.25,-3,93,500,31,93-500-31,9350E,9.3,0.5
39.25,-2.75,93,500,31,93-500-31,9350E,9.3,0.5
39.25,-2.5,92,500,31,92-500-31,9250E,9.2,0.5
39.25,-2.25,92,500,31,92-500-31,9250E,9.2,0.5
39.25,-2,91,500,31,91-500-31,9150E,9.1,0.5
39.25,-1.75,91,500,31,91-500-31,9150E,9.1,0.5
39.25,-1.5,90,500,31,90-500-31,9050E,9,0.5
39.25,-1.25,90,500,31,90-500-31,9050E,9,0.5
39.25,-1,89,500,31,89-500-31,8950E,8.9,0.5
39.25,-0.75,89,500,31,89-500-31,8950E,8.9,0.5
39.25,-0.5,88,500,31,88-500-31,8850E,8.8,0.5
39.25,-0.25,88,500,31,88-500-31,8850E,8.8,0.5
39.375,-6.5,100,525,31,100-525-31,10053E,10,0.525
39.375,-6.25,100,525,31,100-525-31,10053E,10,0.525
39.375,-6,99,525,31,99-525-31,9953E,9.9,0.525
39.375,-5.75,99,525,31,99-525-31,9953E,9.9,0.525
39.375,-5.5,98,525,31,98-525-31,9853E,9.8,0.525
39.375,-5.25,98,525,31,98-525-31,9853E,9.8,0.525
39.375,-5,97,525,31,97-525-31,9753E,9.7,0.525
39.375,-4.75,97,525,31,97-525-31,9753E,9.7,0.525
39.375,-4.5,96,525,31,96-525-31,9653E,9.6,0.525
39.375,-4.25,96,525,31,96-525-31,9653E,9.6,0.525
39.375,-4,95,525,31,95-525-31,9553E,9.5,0.525
39.375,-3.75,95,525,31,95-525-31,9553E,9.5,0.525
39.375,-3.5,94,500,31,94-500-31,9450E,9.4,0.5
39.375,-3.25,94,500,31,94-500-31,9450E,9.4,0.5
39.375,-3,93,500,31,93-500-31,9350E,9.3,0.5
39.375,-2.75,93,500,31,93-500-31,9350E,9.3,0.5
39.375,-2.5,92,500,31,92-500-31,9250E,9.2,0.5
39.375,-2.25,92,500,31,92-500-31,9250E,9.2,0.5
39.375,-2,91,500,31,91-500-31,9150E,9.1,0.5
39.375,-1.75,91,500,31,91-500-31,9150E,9.1,0.5
39.375,-1.5,90,500,31,90-500-31,9050E,9,0.5
39.375,-1.25,90,500,31,90-500-31,9050E,9,0.5
39.375,-1,89,500,31,89-500-31,8950E,8.9,0.5
39.375,-0.75,89,500,31,89-500-31,8950E,8.9,0.5
39.375,-0.5,88,500,31,88-500-31,8850E,8.8,0.5
